artist,title,source_genre,language
Harry Styles,Sign of the Times,rock,english
Katy Perry,The One That Got Away,pop,english
Kanye West,Flashing Lights,hip-hop,english
Frank Ocean,Pink + White,rnb,english
Empire of the Sun,We Are the People,electronic,english
Ariana Grande,"yes, and?",house,english
Underworld,Born Slippy .NUXX,techno,english
Sade,Like a Tattoo,jazz,english
Erik Satie,Gymnopédie No. 1,classical,english
Deftones,My Own Summer (Shove It),metal,english
Toby Keith,"Courtesy of the Red, White and Blue (The Angry American)",country,english
"Peter, Paul & Mary",500 Miles,folk,english
The Neighbourhood,Sweater Weather,indie,english
Sade,Kiss Of Life,soul,english
Bob Marley & The Wailers,Could You Be Loved,reggae,english
B.B. King,The Thrill Is Gone,blues,english
Green Day,Brain Stew,punk,english
C418,Subwoofer Lullaby,ambient,english
Shakira,Hips Don't Lie (feat. Wyclef Jean),latin,english
NewJeans,Ditto,k-pop,english
Don Miguelo,Y Qué Fue?,in-chart,hindi
Ketan Kumar,शम्भु स्तुति,in-chart,hindi
BTS,SWIM,in-chart,hindi
Anirudh Ravichander,"Raga of Revenge (From ""DC"")",in-genre-tamil,tamil
Anirudh Ravichander & Heisenberg,"One Name (From ""Jailer 2"")",in-genre-tamil,tamil
Ghibran,Champ Has Arrived,in-genre-telugu,telugu
Devi Sri Prasad & KK,Uppenantha,in-genre-telugu,telugu
Cassie,Official Girl (feat. Lil Wayne),kr-chart,korean
Loreena McKennitt,The Holly & the Ivy,kr-chart,korean
ROIROM,GHOST HOUSE,jp-chart,japanese
STARGLOW,Drivin' My Life,jp-chart,japanese
HWASA,Good Goodbye,tw-chart,chinese
